Site ID,Site Name,Site Name CN,Latitude,Longitude,Coordinate Precision,Elevation m,Eco Zone,Eco Zone CN,Subregion,Subregion CN,Country,Site Type,Site Type CN,Period,Dating Basis,Has Botanical Data,Millet,Wheat,Barley,Sheep-Goat,Cattle,Horse,Key Reference,Notes
ZH01,Begash,贝加什,45.09,79.16,Approximate,950,Foothill-steppe,山麓草原,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,EBA-LBA,C14,Yes,Yes,Yes,No,Yes,Yes,Yes,Frachetti & Mar'yashev 2007; Frachetti et al. 2010,Koksu河谷避风台地的冬—春营地；黍与小麦直接测年至公元前三千纪末（仪式语境）
ZH02,Dali,达利,45.12,79.59,Approximate,1550,Mid-mountain,中山带,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,EBA-LBA,C14,Yes,Yes,n.d.,n.d.,Yes,Yes,Yes,Frachetti et al. (DSHN项目); Hermes et al. 2019,准噶尔阿拉套中山台地长期反复占用居址；同位素显示家畜食用黍
ZH03,Tasbas,塔斯巴斯,45.03,79.78,Approximate,1490,Mid-mountain,中山带,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,MBA-LBA,C14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Doumani et al. 2015; Spengler et al. 2014,Bayan-Zhurek高地；黍、小麦、大麦、豌豆共出；火葬墓仪式语境含谷物
ZH04,Talapty,塔拉普特,44.90,79.00,Valley,1200,Foothill-steppe,山麓草原,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,MBA-LBA,Typology,No,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Mar'yashev & Goryachev 2002,Koksu河谷安德罗诺沃晚段居址与墓地
ZH05,Mukri,穆克里,44.92,79.15,Valley,1100,Foothill-steppe,山麓草原,Zhetysu,七河,KZ,Settlement,居址,LBA,Typology,No,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Марьяшев и др. 报告,Koksu河谷晚青铜居址
ZH06,Eshkiolmes,叶什基奥尔梅斯,45.42,78.65,Approximate,850,Foothill-steppe,山麓草原,Zhetysu,七河,KZ,Rock art,岩画,MBA-LBA,Style,No,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Марьяшев & Горячев 2002,卡拉塔尔河谷岩画山地；青铜图层丰富（车辆、牛、仪式场景）
ZH07,Bayan-Zhurek petroglyphs,巴彦茹列克岩画,45.20,79.20,Approximate,1800,Mid-mountain,中山带,Zhetysu,七河,KZ,Rock art,岩画,MBA-LBA,Style,No,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Марьяшев & Горячев 2002,高位草场岩画群；与Tasbas居址同一高地系统
ZH08,Turgen-2,图尔根II,43.10,77.75,Approximate,2300,Alpine-meadow,高山草甸,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,MBA-LBA,C14,No,n.d.,n.d.,n.d.,Yes,Yes,n.d.,Горячев 2020,伊犁阿拉套Turgen峡谷上游高位居址群；季节性使用证据
ZH09,Kyzylbulak IV,克孜勒布拉克IV,43.12,77.80,Approximate,1800,Mid-mountain,中山带,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,MBA-LBA,C14,No,n.d.,n.d.,n.d.,Yes,Yes,n.d.,Горячев 2004; 2020,Turgen峡谷中段居址—墓地复合体
ZH10,Asy-Saga,阿西—萨加,43.07,77.95,Approximate,2550,Alpine-meadow,高山草甸,Zhetysu,七河,KZ,Settlement+Burial,居址+墓葬,MBA-LBA,Typology,No,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Горячев 2004,Asy高原夏牧场地带居址与墓地；季节性占用
ZH11,Asy plateau petroglyphs,阿西高原岩画,43.06,78.00,Approximate,2600,Alpine-meadow,高山草甸,Zhetysu,七河,KZ,Rock art,岩画,MBA-LBA,Style,No,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,Горячев 2004,高原夏牧场通道岩画点
